sku_id,description,category,subcategory,launch_date,unit_cost,list_price
16011,ANIMAL STICKERS,Stationery & Gift,Animal,2009-12-04,0.13,0.21
16012,FOOD/DRINK SPONGE STICKERS,Stationery & Gift,Food/Drink,2009-12-02,0.13,0.21
16014,SMALL CHINESE STYLE SCISSOR,Other,Small,2009-12-03,0.25,0.42
16015,MEDIUM CHINESE STYLE SCISSOR,Other,Medium,2009-12-03,0.3,0.5
16016,LARGE CHINESE STYLE SCISSOR,Other,Large,2009-12-03,0.51,0.85
16020C,CLEAR STATIONERY BOX SET,Bags & Storage,Clear,2009-12-07,0.51,0.85
16033,MINI HIGHLIGHTER PENS,Lighting,Mini,2009-12-10,0.07,0.12
16043,POP ART PUSH DOWN RUBBER,Other,Pop,2009-12-16,0.25,0.42
16044,POP-ART FLUORESCENT PENS,Stationery & Gift,Pop-Art,2010-01-07,0.25,0.42
16045,POPART WOODEN PENCILS ASST,Stationery & Gift,Popart,2010-01-07,0.07,0.12
16046,TEATIME PEN CASE & PENS,Bags & Storage,Teatime,2009-12-04,1.0,1.66
16047,POP ART PEN CASE & PENS,Bags & Storage,Pop,2009-12-01,1.0,1.66
16048,TEATIME ROUND PENCIL SHARPENER,Stationery & Gift,Teatime,2009-12-07,0.5,0.83
16049,TEATIME GEL PENS ASST,Stationery & Gift,Teatime,2009-12-04,0.49,0.81
16050,TEATIME PENCIL WITH RUBBER,Stationery & Gift,Teatime,2010-02-16,0.33,0.55
16051,TEATIME PENCIL W STAMP ASST,Stationery & Gift,Teatime,2009-12-10,0.42,0.7070000000000001
16052,TEATIME PUSH DOWN RUBBER,Other,Teatime,2009-12-16,0.5,0.84
16053,POPART COL BALLPOINT PEN ASST,Stationery & Gift,Popart,2010-01-07,0.13,0.21
16054,POPART RECT PENCIL SHARPENER ASST,Stationery & Gift,Popart,2010-01-07,0.25,0.42
16119,FUNKY GIRL ADDRESS BOOK,Other,Funky,2009-12-10,0.75,1.25
16151A,FLOWERS HANDBAG blue and orange,Bags & Storage,Flowers,2010-04-30,2.25,3.75
16156L,"WRAP, CAROUSEL",Stationery & Gift,"Wrap,",2010-01-10,0.25,0.42
16156N,"WRAP, FRIENDSHIP ON GREEN",Stationery & Gift,"Wrap,",2009-12-01,0.25,0.42
16156S,WRAP PINK FAIRY CAKES,Kitchen & Dining,Wrap,2009-12-01,0.25,0.42
16161C,WRAP SPEED DEMONS,Stationery & Gift,Wrap,2009-12-01,0.06,0.1
16161E,WRAP BOUDOIR,Stationery & Gift,Wrap,2009-12-07,0.06,0.1
16161G,WRAP BAD HAIR DAY,Stationery & Gift,Wrap,2010-01-19,0.06,0.1
16161M,WRAP  PINK FLOCK,Stationery & Gift,Wrap,2009-12-03,0.25,0.42
16161P,WRAP ENGLISH ROSE,Stationery & Gift,Wrap,2009-12-01,0.25,0.42
16161U,WRAP SUKI AND FRIENDS,Stationery & Gift,Wrap,2009-12-01,0.25,0.42
16162L,THE KING GIFT BAG,Bags & Storage,The,2009-12-09,0.77,1.28
16162M,THE KING GIFT BAG 25x24x12cm,Bags & Storage,The,2010-06-14,0.25,0.42
16168M,FUNKY MONKEY GIFT BAG MEDIUM,Bags & Storage,Funky,2009-12-09,0.51,0.85
16168S,FUNKY MONKEY GIFT BAG SMALL,Bags & Storage,Funky,2009-12-10,0.33,0.55
16169A,WRAP CHRISTMAS DECOUPAGE,Stationery & Gift,Wrap,2010-04-29,0.25,0.42
16169C,WRAP BLUE REINDEER,Stationery & Gift,Wrap,2009-12-01,0.25,0.42
16169D,WRAP WINTER FOREST,Stationery & Gift,Wrap,2009-12-01,0.25,0.42
16169E,WRAP 50'S  CHRISTMAS,Stationery & Gift,Wrap,2011-07-21,0.25,0.42
16169F,WRAP BLIZZARD,Stationery & Gift,Wrap,2009-12-01,0.25,0.42
16169G,WRAP ROMANTIC DECOUPAGE,Stationery & Gift,Wrap,2009-12-10,0.25,0.42
16169K,WRAP FOLK ART,Stationery & Gift,Wrap,2009-12-04,0.25,0.42
16169M,WRAP DAISY CARPET,Stationery & Gift,Wrap,2009-12-03,0.25,0.42
16169N,WRAP BLUE RUSSIAN FOLKART,Stationery & Gift,Wrap,2009-12-01,0.25,0.42
16169P,WRAP GREEN RUSSIAN FOLKART,Stationery & Gift,Wrap,2009-12-04,0.25,0.42
16192,PINK BALLET OPENING CUBE BOX,Bags & Storage,Pink,2009-12-18,2.58,4.3
16201A,PASTEL PINK PHOTO ALBUM,Other,Pastel,2009-12-02,4.87,8.114
16201B,PASTEL BLUE PHOTO ALBUM,Other,Pastel,2009-12-02,2.06,3.43
16202A,PASTEL PINK PHOTO ALBUM,Other,Pastel,2009-12-02,3.33,5.55
16202B,PASTEL BLUE PHOTO ALBUM,Other,Pastel,2009-12-02,7.12,11.87
16202C,BEIGE PHOTO ALBUM,Other,Beige,2009-12-02,3.33,5.55
16202E,BLACK PHOTO ALBUM,Other,Black,2009-12-02,3.33,5.55
16206B,RED PURSE WITH PINK HEART,Home Decor,Red,2010-01-31,0.75,1.25
16207A,PINK STRAWBERRY HANDBAG,Bags & Storage,Pink,2009-12-01,2.02,3.36
16207B,PINK HEART RED HANDBAG,Home Decor,Pink,2009-12-11,1.77,2.95
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,Other,Funky,2009-12-02,4.57,7.62
16215,FUNKY GIRLZ MAGNETIC TO DO LIST,Other,Funky,2009-12-03,0.39,0.65
16216,LETTER SHAPE PENCIL SHARPENER,Stationery & Gift,Letter,2009-12-04,0.13,0.21200000000000074
16218,CARTOON  PENCIL SHARPENERS,Stationery & Gift,Cartoon,2009-12-08,1.28,2.13
16219,HOUSE SHAPE PENCIL SHARPENER,Stationery & Gift,House,2009-12-06,1.0,1.67
16225,RATTLE SNAKE EGGS,Other,Rattle,2009-12-01,2.02,3.36
16235,RECYCLED PENCIL WITH RABBIT ERASER,Stationery & Gift,Recycled,2009-12-01,0.26,0.43
16236,KITTY PENCIL ERASERS,Stationery & Gift,Kitty,2009-12-02,0.26,0.43
16237,SLEEPING CAT ERASERS,Other,Sleeping,2009-12-01,0.26,0.43
16238,PARTY TIME PENCIL ERASERS,Stationery & Gift,Party,2009-12-01,0.26,0.43
16239,BALLERINA HEART DECORATION.,Home Decor,Ballerina,2009-12-02,1.77,2.95
16243B,BROWN COZY SQUARE PHOTO ALBUM,Other,Brown,2009-12-02,3.62,6.04
16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,Other,Maxwell,2009-12-02,2.58,4.3
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,Other,Maxwell,2009-12-03,2.58,4.3
16245A,PINK MINI STATIONERY SET W CASE,Bags & Storage,Pink,2010-03-10,0.75,1.25
16248B,BLUE HOLE PUNCH,Other,Blue,2010-09-20,0.75,1.25
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,Stationery & Gift,Transparent,2010-01-11,1.0,1.66
16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,Stationery & Gift,Flower,2009-12-04,0.49,0.81
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,Home Decor,Hearts,2009-12-13,0.25,0.42
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,Bags & Storage,Swirly,2009-12-11,0.5,0.83
16258B,DAISY ERASERS IN BAG,Bags & Storage,Daisy,2009-12-02,0.38,0.64
16259,PIECE OF CAMO STATIONERY SET,Other,Piece,2009-12-07,0.13,0.21
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,Other,Heavens,2009-12-04,0.17,0.29
17003,BROCADE RING PURSE,Other,Brocade,2009-12-01,0.26,0.43
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,Home Decor,S/3,2009-12-14,1.26,2.1
17011A,ORIGAMI VANILLA INCENSE+FLOWER,Other,Origami,2009-12-22,2.53,4.21
17011B,ORIGAMI JASMINE INCENSE+FLOWER,Other,Origami,2010-05-30,1.15,1.9200000000000002
17011C,ORIGAMI LAVENDER INCENSE+FLOWER,Other,Origami,2009-12-14,2.36,3.935
17011D,ORIGAMI ROSE INCENSE+FLOWER,Other,Origami,2009-12-15,2.18,3.6400000000000006
17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,Other,Origami,2009-12-16,0.39,0.65
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,Other,Origami,2009-12-16,2.53,4.21
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,Lighting,Origami,2009-12-01,1.53,2.55
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,Lighting,Origami,2009-12-08,1.53,2.55
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,Other,Origami,2010-02-05,1.53,2.55
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,Lighting,Origami,2010-03-12,1.53,2.55
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,Lighting,Origami,2009-12-16,1.53,2.55
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,Other,Origami,2010-03-03,1.51,2.51
17013B,ORIGAMI JASMINE INCENSE IN TUBE,Other,Origami,2009-12-09,1.8,2.998
17013C,ORIGAMI LAVENDER INCENSE IN TUBE,Other,Origami,2009-12-16,0.25,0.42
17013D,ORIGAMI ROSE INCENSE IN TUBE,Other,Origami,2009-12-09,2.02,3.36
17013F,ORIGAMI SANDLEWOOD INCENSE IN TUBE,Other,Origami,2009-12-21,0.99,1.65
17014A,ORIGAMI VANILLA INCENSE CONES,Other,Origami,2009-12-09,2.04,3.395
17014C,ORIGAMI LAVENDER INCENSE CONES,Other,Origami,2009-12-05,1.88,3.129
17014D,ORIGAMI ROSE INCENSE CONES,Other,Origami,2010-01-14,2.02,3.36
17014E,ORIGAMI OPIUM INCENSE CONES,Other,Origami,2010-05-10,0.99,1.65
17014F,ORIGAMI SANDLEWOOD INCENSE CONES,Other,Origami,2010-01-21,0.99,1.65
17021,NAMASTE SWAGAT INCENSE,Other,Namaste,2010-01-22,0.18,0.3
17027A,INCENSE BAZAAR CANNABIS,Other,Incense,2010-02-04,0.24,0.407
17028J,INCENSE BAZAAR PEACH,Other,Incense,2011-01-31,0.25,0.42
17033,"BROCADE PURSE,SMALL ARCH BUTTON",Other,Brocade,2009-12-02,0.17,0.29
17038,PORCELAIN BUDAH INCENSE HOLDER,Lighting,Porcelain,2009-12-14,0.51,0.85
17039,INLAID WOOD INCENSE HOLDER,Lighting,Inlaid,2009-12-02,0.38,0.64
17061,ASSORTED SHAPED STENCIL FOR HENNA,Other,Assorted,2009-12-07,0.02,0.04
17084A,TRANQUILITY MASALA INCENSE,Other,Tranquility,2010-02-04,0.13,0.21
17084G,MOON INCENSE,Other,Moon,2009-12-02,0.13,0.21
17084J,LOVE POTION MASALA INCENSE,Other,Love,2009-12-01,0.13,0.21
17084N,FAIRY DREAMS INCENSE,Other,Fairy,2009-12-02,0.26,0.43
17084P,DRAGONS BLOOD INCENSE,Other,Dragons,2009-12-07,0.26,0.43
17084R,ASSORTED INCENSE PACK,Other,Assorted,2009-12-02,0.13,0.21
17090A,LAVENDER INCENSE 40 CONES IN TIN,Bags & Storage,Lavender,2009-12-10,0.75,1.25
17090D,VANILLA INCENSE 40 CONES IN TIN,Bags & Storage,Vanilla,2009-12-13,0.75,1.25
17091A,LAVENDER INCENSE IN TIN,Bags & Storage,Lavender,2009-12-06,0.75,1.25
17091B,JASMINE TEA INCENSE IN TIN,Bags & Storage,Jasmine,2009-12-06,1.51,2.51
17091F,SANDALWOOD INCENSE IN TIN,Bags & Storage,Sandalwood,2009-12-06,1.54,2.57
17091J,VANILLA INCENSE IN TIN,Bags & Storage,Vanilla,2009-12-01,0.75,1.25
17096,ASSORTED LAQUERED INCENSE HOLDERS,Lighting,Assorted,2009-12-02,0.26,0.43
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",Other,Flower,2009-12-04,1.53,2.55
17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,Other,Flower,2009-12-01,0.25,0.42
17109A,FLOWER FAIRY INCENSE LILY,Other,Flower,2009-12-02,1.01,1.69
17109B,FLOWER FAIRY INCENSE LAVENDER,Other,Flower,2009-12-02,1.01,1.69
17109C,FLOWER FAIRY INCENSE ROSE,Other,Flower,2009-12-02,1.01,1.69
17109D,FLOWER FAIRY INCENSE BOUQUET,Other,Flower,2009-12-04,1.01,1.69
17129C,SKY BLUE COLOUR GLASS GEMS IN BAG,Kitchen & Dining,Sky,2009-12-09,0.51,0.85
17129D,CLEAR COLOUR GLASS GEMS IN BAG,Kitchen & Dining,Clear,2009-12-01,1.02,1.7
17129F,BLUE GLASS GEMS IN BAG,Kitchen & Dining,Blue,2009-12-04,1.0,1.66
17136A,BLUE STONES ON WIRE FOR CANDLE,Lighting,Blue,2009-12-03,0.13,0.21
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,Other,Ass,2009-12-01,0.25,0.42
17164D,ASS COL SMALL SAND FROG P'WEIGHT,Other,Ass,2009-12-01,0.25,0.42
17165B,ASS COL LARGE SAND GECKO P'WEIGHT,Other,Ass,2009-12-01,0.63,1.05
17165D,ASS COL LARGE SAND FROG P'WEIGHT,Other,Ass,2009-12-01,0.63,1.05
17174,ASSTD RASTA KEY-CHAINS,Other,Asstd,2010-02-01,0.25,0.42
17178,FLAT PALM T-LIGHT HOLDER,Lighting,Flat,2009-12-08,0.75,1.25
17181,CIRCLE OF FRIENDS CANDLE HOLDER,Lighting,Circle,2009-12-01,3.1,5.17
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,Lighting,Rose,2009-12-09,2.25,3.75
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,Bags & Storage,Essential,2009-12-02,0.26,0.43
18010,ASSORTED FRAGRANCE BATH CONFETTI,Other,Assorted,2009-12-01,0.5,0.83
18094C,WHITE AND BLUE CERAMIC OIL BURNER,Other,White,2009-12-02,1.51,2.51
18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,Lighting,White,2009-12-01,3.13,5.21
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,Lighting,Pink,2010-03-05,1.53,2.55
18097B,BLUE TALL PORCELAIN T-LIGHT HOLDER,Lighting,Blue,2009-12-02,1.53,2.55
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,Lighting,White,2009-12-01,2.98,4.96
18098A,PINK PORCELAIN B'FLY OIL BURNER,Other,Pink,2009-12-14,1.77,2.95
18098B,BLUE PORCELAIN B'FLY OIL BURNER,Other,Blue,2009-12-13,1.77,2.95
18098C,PORCELAIN BUTTERFLY OIL BURNER,Other,Porcelain,2009-12-01,3.1,5.17
20615,BLUE POLKADOT PASSPORT COVER,Other,Blue,2009-12-01,2.53,4.21
20616,CHERRY BLOSSOM PASSPORT COVER,Other,Cherry,2009-12-01,2.53,4.21
20617,FIRST CLASS PASSPORT COVER,Other,First,2009-12-02,2.53,4.21
20618,QUEEN OF THE SKIES PASSPORT COVER,Other,Queen,2009-12-01,2.53,4.21
20619,TROPICAL PASSPORT COVER,Other,Tropical,2009-12-01,2.53,4.21
20620,RED SPOTTY PASSPORT COVER,Other,Red,2009-12-02,2.58,4.3
20621,ECONOMY PASSPORT COVER,Other,Economy,2009-12-02,2.27,3.7880000000000016
20622,VIPPASSPORT COVER,Other,Vippassport,2009-12-01,2.53,4.21
20652,BLUE POLKADOT LUGGAGE TAG,Other,Blue,2009-12-01,1.48,2.46
20653,CHERRY BLOSSOM LUGGAGE TAG,Other,Cherry,2009-12-02,1.51,2.51
20654,FIRST CLASS LUGGAGE TAG,Other,First,2009-12-01,1.48,2.46
20655,QUEEN OF SKIES LUGGAGE TAG,Other,Queen,2009-12-01,1.51,2.51
20657,TROPICAL LUGGAGE TAG,Other,Tropical,2009-12-01,1.48,2.46
20658,RED SPOTTY LUGGAGE TAG,Other,Red,2009-12-01,1.51,2.51
20659,ECONOMY LUGGAGE TAG,Other,Economy,2009-12-01,1.51,2.51
20660,VIP LUGGAGE TAG,Other,Vip,2009-12-01,0.75,1.25
20661,BLUE SPOTTY PURSE,Other,Blue,2009-12-01,3.47,5.79
20662,FIRST CLASS HOLIDAY PURSE,Other,First,2009-12-06,1.77,2.95
20663,QUEEN OF THE SKIES HOLIDAY PURSE,Other,Queen,2009-12-10,1.77,2.95
20664,TROPICAL HOLIDAY PURSE,Other,Tropical,2009-12-15,1.77,2.95
20665,RED RETROSPOT PURSE,Other,Red,2009-12-01,3.55,5.91
20666,ECONOMY HOLIDAY PURSE,Other,Economy,2009-12-08,1.77,2.95
20667,CHERRY BLOSSOM PURSE,Other,Cherry,2009-12-17,1.77,2.95
20668,DISCO BALL CHRISTMAS DECORATION,Home Decor,Disco,2009-12-02,0.25,0.42
20669,RED HEART LUGGAGE TAG,Home Decor,Red,2009-12-02,1.51,2.51
20670,VIP HOLIDAY PURSE,Other,Vip,2009-12-08,1.77,2.95
20671,BLUE TEATIME PRINT BOWL,Kitchen & Dining,Blue,2009-12-02,1.51,2.51
20672,PINK TEATIME PRINT BOWL,Kitchen & Dining,Pink,2009-12-02,1.54,2.57
20673,STRAWBERRIES PRINT BOWL,Kitchen & Dining,Strawberries,2009-12-01,0.75,1.25
20674,GREEN POLKADOT BOWL,Kitchen & Dining,Green,2009-12-01,1.49,2.485
20675,BLUE POLKADOT BOWL,Kitchen & Dining,Blue,2009-12-01,1.48,2.46
20676,RED RETROSPOT BOWL,Kitchen & Dining,Red,2009-12-01,1.51,2.51
20677,PINK POLKADOT BOWL,Kitchen & Dining,Pink,2009-12-01,1.51,2.51
20678,LARGE BLACK DIAMANTE HAIRSLIDE,Other,Large,2011-09-23,0.99,1.65
20679,EDWARDIAN PARASOL RED,Garden & Outdoor,Edwardian,2009-12-01,7.48,12.46
20680,PINK FLOWERS CHILDS UMBRELLA,Other,Pink,2009-12-10,1.95,3.25
20681,PINK SPOTTY CHILDS UMBRELLA,Other,Pink,2009-12-01,4.06,6.77
20682,RED RETROSPOT CHILDRENS UMBRELLA,Other,Red,2009-12-01,4.06,6.77
20683,RAIN GIRL CHILDS UMBRELLA,Other,Rain,2009-12-11,1.95,3.25
20684,STRAWBERRY DREAM CHILDS UMBRELLA,Other,Strawberry,2009-12-01,1.95,3.25
20685,DOORMAT RED RETROSPOT,Home Decor,Doormat,2009-12-01,8.14,13.57
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,Toys & Games,Dolly,2009-12-02,3.98,6.63
20688,BEAUTY SPEED EXPRESSO CUPS,Kitchen & Dining,Beauty,2009-12-04,7.8,13.0
20689,RETRO SISTERS EXPRESSO CUPS,Kitchen & Dining,Retro,2009-12-07,3.57,5.95
20692,FLORAL ELEPHANT SOFT TOY,Toys & Games,Floral,2009-12-01,5.08,8.47
20693,FLORAL DINOSAUR GREEN,Other,Floral,2009-12-02,5.11,8.524000000000001
20694,FLORAL PINK MONSTER,Other,Floral,2009-12-01,4.57,7.62
20695,FLORAL BLUE MONSTER,Other,Floral,2009-12-01,5.19,8.65
20696,FLORAL SOFT CAR TOY,Toys & Games,Floral,2009-12-02,4.57,7.62
20697,LITTLE GREEN MONSTER SOFT TOY,Toys & Games,Little,2009-12-13,1.53,2.55
20698,LITTLE PINK MONSTER SOFT TOY,Toys & Games,Little,2010-01-17,1.53,2.55
20699,MOUSEY LONG LEGS SOFT TOY,Toys & Games,Mousey,2009-12-04,3.04,5.06
20700,GREEN CAT FLORAL CUSHION COVER,Home Decor,Green,2009-12-07,6.1,10.17
20701,PINK CAT FLORAL CUSHION COVER,Home Decor,Pink,2009-12-02,2.58,4.3
20702,PINK PADDED MOBILE,Other,Pink,2009-12-03,2.55,4.25
20703,BLUE PADDED SOFT MOBILE,Other,Blue,2009-12-01,2.55,4.25
20704,MR ROBOT SOFT TOY,Toys & Games,Mr,2009-12-06,8.48,14.13
20705,MRS ROBOT SOFT TOY,Toys & Games,Mrs,2009-12-07,4.17,6.95
20707,CRAZY DAISY HEART DECORATION,Home Decor,Crazy,2009-12-04,1.48,2.46
20711,JUMBO BAG TOYS,Bags & Storage,Jumbo,2009-12-01,2.53,4.21
20712,JUMBO BAG WOODLAND ANIMALS,Bags & Storage,Jumbo,2009-12-01,2.53,4.21
20713,JUMBO BAG OWLS,Bags & Storage,Jumbo,2009-12-01,2.53,4.21
20714,POSY SHOPPER BAG,Bags & Storage,Posy,2009-12-01,0.99,1.6460000000000008
20715,LITTLE FLOWER SHOPPER BAG,Bags & Storage,Little,2010-01-07,0.64,1.06
20716,PARTY FOOD SHOPPER BAG,Bags & Storage,Party,2009-12-01,1.51,2.51
20717,STRAWBERRY SHOPPER BAG,Bags & Storage,Strawberry,2009-12-04,1.51,2.51
20718,RED RETROSPOT SHOPPER BAG,Bags & Storage,Red,2009-12-01,1.54,2.57
20719,WOODLAND CHARLOTTE BAG,Bags & Storage,Woodland,2009-12-01,1.0,1.66
20721,OWLS CHARLOTTE BAG,Bags & Storage,Owls,2009-12-07,0.51,0.85
20723,STRAWBERRY CHARLOTTE BAG,Bags & Storage,Strawberry,2009-12-01,1.0,1.66
20724,RED RETROSPOT CHARLOTTE BAG,Bags & Storage,Red,2009-12-01,1.0,1.66
20725,LUNCH BAG RED RETROSPOT,Bags & Storage,Lunch,2009-12-01,2.53,4.21
20726,LUNCH BAG WOODLAND,Bags & Storage,Lunch,2009-12-01,2.53,4.21
20727,LUNCH BAG  BLACK SKULL.,Bags & Storage,Lunch,2009-12-01,2.48,4.13
20728,LUNCH BAG CARS BLUE,Bags & Storage,Lunch,2009-12-01,2.48,4.13
20729,RED SPOTTY CANDY BAG,Bags & Storage,Red,2009-12-01,1.51,2.51
20730,STRAWBERRY CANDY BAG,Bags & Storage,Strawberry,2009-12-01,0.75,1.25
20731,POSY CANDY BAG,Bags & Storage,Posy,2009-12-07,1.51,2.51
20733,GOLD MINI TAPE MEASURE,Other,Gold,2009-12-03,0.51,0.85
20734,SILVER MINI TAPE MEASURE,Other,Silver,2009-12-01,1.51,2.51
20735,BLACK MINI TAPE MEASURE,Other,Black,2009-12-02,1.51,2.51
20736,PINK MINI TAPE MEASURE,Other,Pink,2009-12-02,0.51,0.85
20737,RED MINI TAPE MEASURE,Other,Red,2009-12-02,1.02,1.7
20738,GREEN MINI TAPE MEASURE,Other,Green,2009-12-03,0.85,1.4170000000000023
20739,*USB Office Glitter Lamp,Lighting,*Usb,2009-12-01,5.19,8.65
20747,PICCADILLY TEA SET,Other,Piccadilly,2009-12-01,8.97,14.95
20748,KENSINGTON COFFEE SET,Other,Kensington,2009-12-01,7.65,12.75
20749,ASSORTED COLOUR MINI CASES,Bags & Storage,Assorted,2009-12-01,4.77,7.95
20750,RED RETROSPOT MINI CASES,Bags & Storage,Red,2009-12-01,4.77,7.95
20751,FUNKY WASHING UP GLOVES ASSORTED,Other,Funky,2009-12-01,2.48,4.13
20752,BLUE POLKADOT WASHING UP GLOVES,Other,Blue,2009-12-01,2.48,4.13
20753,RETRO PINK SPOT WASHING UP GLOVES,Other,Retro,2009-12-01,2.58,4.3
20754,RETROSPOT RED WASHING UP GLOVES,Other,Retrospot,2009-12-01,2.53,4.21
20755,BLUE PAISLEY POCKET BOOK,Other,Blue,2009-12-07,0.98,1.63
20756,GREEN FERN POCKET BOOK,Other,Green,2009-12-01,0.51,0.85
20757,RED DAISY POCKET BOOK,Other,Red,2009-12-07,0.51,0.85
20758,ABSTRACT CIRCLES POCKET BOOK,Other,Abstract,2009-12-01,0.51,0.85
20759,CHRYSANTHEMUM POCKET BOOK,Other,Chrysanthemum,2009-12-17,0.51,0.85
20760,GARDEN PATH POCKET BOOK,Garden & Outdoor,Garden,2009-12-04,0.51,0.85
20761,BLUE PAISLEY SKETCHBOOK,Other,Blue,2009-12-01,2.25,3.75
20762,GREEN FERN SKETCHBOOK,Other,Green,2009-12-04,2.25,3.75
20763,DAISY SKETCHBOOK,Other,Daisy,2009-12-07,2.25,3.75
20764,ABSTRACT CIRCLES SKETCHBOOK,Other,Abstract,2009-12-02,4.48,7.46
20765,CHRYSANTHEMUM SKETCHBOOK,Other,Chrysanthemum,2009-12-01,2.25,3.75
20766,GARDEN PATH SKETCHBOOK,Garden & Outdoor,Garden,2009-12-04,2.25,3.75
20767,BLUE PAISLEY JOURNAL,Other,Blue,2009-12-01,1.53,2.55
20768,GREEN FERN JOURNAL,Other,Green,2009-12-01,1.53,2.55
20769,DAISY JOURNAL,Other,Daisy,2009-12-07,1.53,2.55
20770,ABSTRACT CIRCLE JOURNAL,Other,Abstract,2009-12-01,1.53,2.55
