date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2011-12-05,16169F,0,0,14,0
2011-12-05,16169G,0,0,14,0
2011-12-05,16169K,0,0,14,0
2011-12-05,16169M,0,0,14,0
2011-12-05,16169N,0,0,14,0
2011-12-05,16169P,0,0,14,0
2011-12-05,16192,0,0,35,0
2011-12-05,16201A,0,0,25,0
2011-12-05,16201B,0,0,25,0
2011-12-05,16202A,0,0,25,0
2011-12-05,16202B,0,0,25,0
2011-12-05,16202C,0,0,25,0
2011-12-05,16202E,0,0,25,0
2011-12-05,16206B,0,0,30,0
2011-12-05,16207A,0,0,35,0
2011-12-05,16207B,0,0,30,0
2011-12-05,16212,0,0,25,0
2011-12-05,16215,0,0,25,0
2011-12-05,16216,0,0,14,0
2011-12-05,16218,0,0,14,0
2011-12-05,16219,0,0,14,0
2011-12-05,16225,0,0,25,0
2011-12-05,16235,0,0,14,0
2011-12-05,16236,0,0,14,0
2011-12-05,16237,0,0,25,0
2011-12-05,16238,0,0,14,0
2011-12-05,16239,0,0,30,0
2011-12-05,16243B,0,0,25,0
2011-12-05,16244A,0,0,25,0
2011-12-05,16244B,0,0,25,0
2011-12-05,16245A,0,0,35,0
2011-12-05,16248B,0,0,25,0
2011-12-05,16254,0,0,14,0
2011-12-05,16256B,0,0,14,0
2011-12-05,16256C,0,0,30,0
2011-12-05,16258A,0,0,35,0
2011-12-05,16258B,0,0,35,0
2011-12-05,16259,0,0,25,0
2011-12-05,17001,0,0,25,0
2011-12-05,17003,3831,0,25,2140
2011-12-05,17007B,0,0,30,0
2011-12-05,17011A,0,0,25,0
2011-12-05,17011B,0,0,25,0
2011-12-05,17011C,0,0,25,0
2011-12-05,17011D,0,0,25,0
2011-12-05,17011E,0,0,25,0
2011-12-05,17011F,0,0,25,0
2011-12-05,17012A,0,0,28,0
2011-12-05,17012B,0,0,28,0
2011-12-05,17012C,0,0,25,0
2011-12-05,17012D,0,0,28,0
2011-12-05,17012E,0,0,28,0
2011-12-05,17012F,0,0,25,0
2011-12-05,17013B,0,0,25,0
2011-12-05,17013C,0,0,25,0
2011-12-05,17013D,0,0,25,0
2011-12-05,17013F,0,0,25,0
2011-12-05,17014A,0,0,25,0
2011-12-05,17014C,0,0,25,0
2011-12-05,17014D,0,0,25,0
2011-12-05,17014E,0,0,25,0
2011-12-05,17014F,0,0,25,0
2011-12-05,17021,0,0,25,0
2011-12-05,17027A,0,0,25,0
2011-12-05,17028J,0,0,25,0
2011-12-05,17033,0,0,25,0
2011-12-05,17038,0,0,28,0
2011-12-05,17039,0,0,28,0
2011-12-05,17061,0,0,25,0
2011-12-05,17084A,0,0,25,0
2011-12-05,17084G,0,0,25,0
2011-12-05,17084J,0,0,25,0
2011-12-05,17084N,0,0,25,0
2011-12-05,17084P,0,0,25,0
2011-12-05,17084R,0,0,25,0
2011-12-05,17090A,0,0,35,0
2011-12-05,17090D,0,0,35,0
2011-12-05,17091A,0,0,35,0
2011-12-05,17091B,0,0,35,0
2011-12-05,17091F,0,0,35,0
2011-12-05,17091J,0,0,35,0
2011-12-05,17096,0,0,28,0
2011-12-05,17107D,0,0,25,0
2011-12-05,17108D,0,0,25,0
2011-12-05,17109A,0,0,25,0
2011-12-05,17109B,0,0,25,0
2011-12-05,17109C,0,0,25,0
2011-12-05,17109D,0,0,25,0
2011-12-05,17129C,0,0,21,0
2011-12-05,17129D,0,0,21,0
2011-12-05,17129F,0,0,21,0
2011-12-05,17136A,0,0,28,0
2011-12-05,17164B,0,0,25,0
2011-12-05,17164D,0,0,25,0
2011-12-05,17165B,0,0,25,0
2011-12-05,17165D,0,0,25,0
2011-12-05,17174,0,0,25,0
2011-12-05,17178,0,0,28,0
2011-12-05,17181,0,0,28,0
2011-12-05,17191A,0,0,28,0
2011-12-05,18007,0,0,35,0
2011-12-05,18010,0,0,25,0
2011-12-05,18094C,0,0,25,0
2011-12-05,18096C,0,0,28,0
2011-12-05,18097A,0,0,28,0
2011-12-05,18097B,0,0,28,0
2011-12-05,18097C,0,0,28,0
2011-12-05,18098A,0,0,25,0
2011-12-05,18098B,0,0,25,0
2011-12-05,18098C,0,0,25,0
2011-12-05,20615,0,0,25,0
2011-12-05,20616,0,0,25,0
2011-12-05,20617,0,0,25,0
2011-12-05,20618,0,0,25,0
2011-12-05,20619,0,0,25,0
2011-12-05,20620,0,0,25,0
2011-12-05,20621,0,0,25,0
2011-12-05,20622,0,0,25,0
2011-12-05,20652,0,0,25,0
2011-12-05,20653,0,0,25,0
2011-12-05,20654,0,0,25,0
2011-12-05,20655,0,0,25,0
2011-12-05,20657,0,0,25,0
2011-12-05,20658,0,0,25,0
2011-12-05,20659,0,0,25,0
2011-12-05,20660,0,0,25,0
2011-12-05,20661,0,0,25,0
2011-12-05,20662,0,0,25,0
2011-12-05,20663,0,0,25,0
2011-12-05,20664,0,0,25,0
2011-12-05,20665,0,0,25,0
2011-12-05,20666,0,0,25,0
2011-12-05,20667,0,0,25,0
2011-12-05,20668,310,0,30,3852
2011-12-05,20669,0,0,30,0
2011-12-05,20670,0,0,25,0
2011-12-05,20671,0,0,21,0
2011-12-05,20672,0,0,21,0
2011-12-05,20673,0,0,21,0
2011-12-05,20674,0,0,21,0
2011-12-05,20675,0,0,21,0
2011-12-05,20676,0,0,21,0
2011-12-05,20677,0,0,21,0
2011-12-05,20678,0,0,25,0
2011-12-05,20679,0,0,42,0
2011-12-05,20680,0,0,25,0
2011-12-05,20681,0,0,25,0
2011-12-05,20682,0,0,25,0
2011-12-05,20683,0,0,25,0
2011-12-05,20684,0,0,25,0
2011-12-05,20685,0,0,30,0
2011-12-05,20686,0,0,30,0
2011-12-05,20688,0,0,21,0
2011-12-05,20689,0,0,21,0
2011-12-05,20692,0,0,30,0
2011-12-05,20693,0,0,25,0
2011-12-05,20694,0,0,25,0
2011-12-05,20695,0,0,25,0
2011-12-05,20696,0,0,30,0
2011-12-05,20697,0,0,30,0
2011-12-05,20698,0,0,30,0
2011-12-05,20699,0,0,30,0
2011-12-05,20700,0,0,30,0
2011-12-05,20701,0,0,30,0
2011-12-05,20702,0,0,25,0
2011-12-05,20703,0,0,25,0
2011-12-05,20704,0,0,30,0
2011-12-05,20705,0,0,30,0
2011-12-05,20707,0,0,30,0
2011-12-05,20711,1275,0,35,554
2011-12-05,20712,3469,0,35,1568
2011-12-05,20713,1149,0,35,1721
2011-12-05,20714,0,0,35,0
2011-12-05,20715,0,0,35,0
2011-12-05,20716,0,0,35,0
2011-12-05,20717,0,0,35,0
2011-12-05,20718,784,0,35,675
2011-12-05,20719,1772,0,35,1679
2011-12-05,20721,0,0,35,0
2011-12-05,20723,2227,0,35,1226
2011-12-05,20724,7162,0,35,2976
2011-12-05,20725,3142,0,35,2467
2011-12-05,20726,732,794,35,1032
2011-12-05,20727,1167,1322,35,1719
2011-12-05,20728,2685,0,35,1295
2011-12-05,20729,0,0,35,0
2011-12-05,20730,0,0,35,0
2011-12-05,20731,0,0,35,0
2011-12-05,20733,0,0,25,0
2011-12-05,20734,0,0,25,0
2011-12-05,20735,0,0,25,0
2011-12-05,20736,0,0,25,0
2011-12-05,20737,0,0,25,0
2011-12-05,20738,0,0,25,0
2011-12-05,20739,0,0,28,0
2011-12-05,20747,0,0,25,0
2011-12-05,20748,0,0,25,0
2011-12-05,20749,0,0,35,0
2011-12-05,20750,0,0,35,0
2011-12-05,20751,0,0,25,0
2011-12-05,20752,0,0,25,0
2011-12-05,20753,0,0,25,0
2011-12-05,20754,0,0,25,0
2011-12-05,20755,0,0,25,0
2011-12-05,20756,0,0,25,0
2011-12-05,20757,0,0,25,0
2011-12-05,20758,0,0,25,0
2011-12-05,20759,0,0,25,0
2011-12-05,20760,0,0,42,0
2011-12-05,20761,0,0,25,0
2011-12-05,20762,0,0,25,0
2011-12-05,20763,0,0,25,0
2011-12-05,20764,0,0,25,0
2011-12-05,20765,0,0,25,0
2011-12-05,20766,0,0,42,0
2011-12-05,20767,0,0,25,0
2011-12-05,20768,0,0,25,0
2011-12-05,20769,0,0,25,0
2011-12-05,20770,0,0,25,0
2011-12-05,20771,0,0,25,0
2011-12-05,20772,0,0,42,0
2011-12-05,20773,0,0,14,0
2011-12-05,20774,0,0,14,0
2011-12-05,20775,0,0,14,0
2011-12-05,20776,0,0,14,0
2011-12-05,20777,0,0,14,0
2011-12-05,20778,0,0,14,0
2011-12-05,20780,0,0,25,0
2011-12-05,20781,0,0,25,0
2011-12-05,20782,0,0,25,0
2011-12-05,20783,0,0,30,0
2011-12-05,20784,0,0,25,0
2011-12-05,20785,0,0,25,0
2011-12-05,20786,0,0,25,0
2011-12-05,20787,0,0,25,0
2011-12-05,20791,0,0,25,0
2011-12-05,20793,0,0,25,0
2011-12-05,20794,0,0,25,0
2011-12-05,20795,0,0,25,0
2011-12-05,20796,0,0,25,0
2011-12-05,20798,0,0,21,0
2011-12-05,20799,0,0,21,0
2011-12-05,20800,0,0,21,0
2011-12-05,20801,0,0,21,0
2011-12-05,20802,0,0,21,0
2011-12-05,20803,0,0,21,0
2011-12-05,20804,0,0,21,0
2011-12-05,20812,0,0,30,0
2011-12-05,20814,0,0,30,0
2011-12-05,20816,0,0,30,0
2011-12-05,20818,0,0,25,0
2011-12-05,20819,0,0,25,0
2011-12-05,20820,0,0,30,0
2011-12-05,20821,0,0,30,0
2011-12-05,20822,0,0,25,0
2011-12-05,20823,0,0,25,0
2011-12-05,20825,0,0,21,0
2011-12-05,20826,0,0,21,0
2011-12-05,20827,0,0,21,0
2011-12-05,20828,0,0,25,0
2011-12-05,20829,0,0,30,0
2011-12-05,20830,0,0,30,0
2011-12-05,20831,0,0,30,0
2011-12-05,20832,0,0,30,0
2011-12-05,20833,0,0,25,0
2011-12-05,20835,0,0,30,0
2011-12-05,20836,0,0,30,0
2011-12-05,20837,0,0,30,0
2011-12-05,20838,0,0,30,0
2011-12-05,20839,0,0,30,0
2011-12-05,20840,0,0,30,0
2011-12-05,20845,0,0,30,0
2011-12-05,20846,0,0,28,0
2011-12-05,20847,0,0,30,0
2011-12-05,20848,0,0,30,0
2011-12-05,20849,0,0,30,0
2011-12-05,20850,0,0,21,0
2011-12-05,20851,0,0,30,0
2011-12-05,20854,0,0,30,0
2011-12-05,20855,0,0,30,0
2011-12-05,20856,0,0,25,0
2011-12-05,20857,0,0,25,0
2011-12-05,20858,0,0,25,0
2011-12-05,20860,0,0,35,0
2011-12-05,20861,0,0,35,0
2011-12-05,20862,0,0,30,0
2011-12-05,20863,0,0,30,0
2011-12-05,20864,0,0,35,0
2011-12-05,20865,0,0,35,0
2011-12-05,20866,0,0,30,0
2011-12-05,20867,0,0,30,0
2011-12-05,20868,0,0,30,0
2011-12-05,20869,0,0,30,0
2011-12-05,20870,0,0,28,0
2011-12-05,20871,0,0,28,0
2011-12-05,20877,0,0,28,0
2011-12-05,20878,0,0,28,0
2011-12-05,20879,0,0,28,0
2011-12-05,20881,0,0,28,0
2011-12-05,20882,0,0,28,0
2011-12-05,20884,0,0,28,0
2011-12-05,20885,0,0,28,0
2011-12-05,20886,0,0,28,0
2011-12-05,20887,0,0,28,0
2011-12-05,20888,0,0,21,0
2011-12-05,20889,0,0,21,0
2011-12-05,20890,0,0,21,0
2011-12-05,20891,0,0,21,0
2011-12-05,20892,0,0,21,0
2011-12-05,20893,0,0,28,0
2011-12-05,20894,0,0,28,0
2011-12-05,20895,0,0,14,0
2011-12-05,20896,0,0,14,0
2011-12-05,20897,0,0,14,0
2011-12-05,20898,0,0,14,0
2011-12-05,20899,0,0,14,0
2011-12-05,20901,0,0,35,0
2011-12-05,20902,0,0,35,0
2011-12-05,20903,0,0,35,0
2011-12-05,20905,0,0,35,0
2011-12-05,20906,0,0,14,0
2011-12-05,20910,0,0,25,0
2011-12-05,20913,0,0,21,0
2011-12-05,20914,54,383,21,498
2011-12-05,20931,0,0,28,0
2011-12-05,20932,0,0,28,0
2011-12-05,20933,0,0,28,0
2011-12-05,20934,0,0,28,0
2011-12-05,20935,0,0,28,0
2011-12-05,20936,0,0,28,0
2011-12-05,20939,0,0,28,0
2011-12-05,20940,0,0,28,0
2011-12-05,20941,0,0,28,0
2011-12-05,20942,0,0,28,0
2011-12-05,20943,0,0,28,0
2011-12-05,20950,0,0,28,0
2011-12-05,20952,0,0,25,0
2011-12-05,20953,0,0,25,0
2011-12-05,20954,0,0,30,0
2011-12-05,20956,0,0,28,0
2011-12-05,20957,0,0,30,0
2011-12-05,20958,0,0,30,0
2011-12-05,20960,0,0,25,0
2011-12-05,20961,0,0,25,0
2011-12-05,20963,0,0,25,0
2011-12-05,20964,0,0,25,0
2011-12-05,20966,0,0,25,0
2011-12-05,20967,0,0,35,0
2011-12-05,20968,0,0,35,0
2011-12-05,20969,0,0,35,0
2011-12-05,20970,0,0,35,0
2011-12-05,20971,174,0,35,3800
2011-12-05,20972,211,942,35,1225
2011-12-05,20973,0,0,14,0
2011-12-05,20974,1999,0,14,360
2011-12-05,20975,1102,0,14,645
2011-12-05,20976,0,0,14,0
2011-12-05,20977,0,0,14,0
2011-12-05,20978,0,0,14,0
2011-12-05,20979,0,0,14,0
2011-12-05,20980,0,0,14,0
2011-12-05,20981,0,0,14,0
2011-12-05,20982,0,0,14,0
2011-12-05,20983,0,0,14,0
2011-12-05,20984,0,0,14,0
2011-12-05,20985,0,0,30,0
2011-12-05,20986,0,0,25,0
2011-12-05,20987,0,0,25,0
2011-12-05,20988,0,0,25,0
2011-12-05,20989,0,0,25,0
2011-12-05,20990,0,0,25,0
2011-12-05,20991,0,0,30,0
2011-12-05,20992,0,0,30,0
2011-12-05,20993,0,0,30,0
2011-12-05,20994,0,0,30,0
2011-12-05,20996,0,0,30,0
2011-12-05,20997,0,0,30,0
2011-12-05,20998,0,0,25,0
2011-12-05,21000,0,0,35,0
2011-12-05,21001,0,0,35,0
2011-12-05,21002,0,0,35,0
2011-12-05,21003,0,0,30,0
2011-12-05,21004,0,0,25,0
2011-12-05,21007,0,0,21,0
2011-12-05,21008,0,0,21,0
2011-12-05,21009,0,0,21,0
2011-12-05,21010,0,0,21,0
2011-12-05,21011,0,0,30,0
2011-12-05,21012,0,0,21,0
2011-12-05,21014,0,0,30,0
2011-12-05,21015,0,0,30,0
2011-12-05,21016,0,0,28,0
2011-12-05,21017,0,0,30,0
2011-12-05,21018,0,0,30,0
2011-12-05,21025,0,0,25,0
2011-12-05,21026,0,0,25,0
2011-12-05,21027,0,0,25,0
2011-12-05,21028,0,0,25,0
2011-12-05,21030,0,0,25,0
2011-12-05,21031,0,0,25,0
2011-12-05,21032,0,0,25,0
2011-12-05,21033,0,0,35,0
2011-12-05,21034,0,0,25,0
2011-12-05,21035,0,0,25,0
2011-12-05,21036,0,0,25,0
2011-12-05,21038,0,0,14,0
2011-12-05,21039,0,0,35,0
2011-12-05,21040,0,0,35,0
2011-12-05,21041,0,0,25,0
2011-12-05,21042,0,0,25,0
2011-12-05,21043,0,0,25,0
2011-12-05,21051,0,0,25,0
2011-12-05,21054,0,0,35,0
2011-12-05,21055,0,0,35,0
2011-12-05,21056,0,0,35,0
2011-12-05,21058,0,0,25,0
2011-12-05,21059,0,0,25,0
2011-12-05,21060,0,0,25,0
2011-12-05,21061,0,0,25,0
2011-12-05,21062,0,0,25,0
2011-12-05,21063,0,0,30,0
2011-12-05,21064,0,0,35,0
2011-12-05,21065,0,0,35,0
2011-12-05,21066,0,0,21,0
2011-12-05,21067,0,0,21,0
2011-12-05,21068,0,0,21,0
2011-12-05,21069,0,0,21,0
2011-12-05,21070,0,0,21,0
2011-12-05,21071,0,0,21,0
2011-12-05,21076,0,0,14,0
2011-12-05,21077,0,0,14,0
2011-12-05,21078,0,0,14,0
2011-12-05,21080,1811,0,14,514
2011-12-05,21081,0,0,14,0
2011-12-05,21082,0,0,14,0
2011-12-05,21084,0,0,21,0
2011-12-05,21085,0,0,21,0
2011-12-05,21086,954,0,21,414
2011-12-05,21087,0,0,21,0
2011-12-05,21088,16,33,21,42
2011-12-05,21089,0,0,21,0
2011-12-05,21090,0,0,21,0
2011-12-05,21091,0,0,21,0
2011-12-05,21092,0,0,21,0
2011-12-05,21094,384,351,21,457
2011-12-05,21095,0,0,21,0
2011-12-05,21096,54,0,21,16
2011-12-05,21097,0,0,21,0
2011-12-05,21098,0,0,45,0
2011-12-05,21099,0,0,21,0
2011-12-05,21100,0,0,35,0
2011-12-05,21102,0,0,21,0
2011-12-05,21106,0,0,25,0
2011-12-05,21107,0,0,25,0
2011-12-05,21108,1850,0,21,1078
2011-12-05,21109,0,0,21,0
2011-12-05,21110,0,0,21,0
2011-12-05,21111,0,0,25,0
2011-12-05,21112,0,0,25,0
2011-12-05,21114,0,0,30,0
2011-12-05,21115,0,0,25,0
2011-12-05,21116,0,0,25,0
2011-12-05,21117,0,0,30,0
2011-12-05,21118,0,0,35,0
2011-12-05,21119,0,0,21,0
2011-12-05,21120,0,0,35,0
2011-12-05,21121,385,495,28,643
2011-12-05,21122,253,321,28,417
2011-12-05,21123,0,0,28,0
2011-12-05,21124,0,0,28,0
2011-12-05,21125,0,0,28,0
2011-12-05,21126,0,0,28,0
2011-12-05,21127,0,0,25,0
2011-12-05,21128,0,0,25,0
2011-12-05,21129,0,0,25,0
2011-12-05,21130,0,0,25,0
2011-12-05,21131,0,0,25,0
2011-12-05,21132,0,0,25,0
2011-12-05,21133,0,0,42,0
2011-12-05,21134,0,0,14,0
2011-12-05,21135,0,0,14,0
2011-12-05,21136,0,0,25,0
2011-12-05,21137,6358,0,30,2167
2011-12-05,21143,0,0,21,0
2011-12-05,21144,0,0,30,0
2011-12-05,21145,0,0,21,0
2011-12-05,21146,0,0,21,0
2011-12-05,21147,0,0,30,0
2011-12-05,21153,0,0,25,0
2011-12-05,21154,0,0,25,0
2011-12-05,21155,0,0,35,0
2011-12-05,21156,0,0,25,0
2011-12-05,21157,0,0,35,0
2011-12-05,21158,0,0,25,0
2011-12-05,21159,0,0,25,0
2011-12-05,21160,0,0,25,0
2011-12-05,21161,0,0,25,0
2011-12-05,21162,0,0,25,0
2011-12-05,21163,0,0,25,0
2011-12-05,21164,0,0,30,0
2011-12-05,21165,0,0,30,0
2011-12-05,21166,3048,0,30,1932
2011-12-05,21167,0,0,25,0
2011-12-05,21169,0,0,30,0
2011-12-05,21171,0,0,30,0
2011-12-05,21172,0,0,30,0
2011-12-05,21173,0,0,30,0
2011-12-05,21174,0,0,30,0
2011-12-05,21175,1700,0,30,1513
2011-12-05,21179,0,0,30,0
2011-12-05,21181,3465,0,30,1999
2011-12-05,21185,0,0,25,0
2011-12-05,21186,0,0,14,0
2011-12-05,21187,0,0,14,0
2011-12-05,21188,0,0,30,0
2011-12-05,21189,0,0,14,0
2011-12-05,21190,0,0,30,0
2011-12-05,21191,0,0,14,0
2011-12-05,21192,0,0,14,0
2011-12-05,21193,0,0,14,0
2011-12-05,21194,0,0,14,0
2011-12-05,21195,0,0,14,0
2011-12-05,21196,0,0,25,0
2011-12-05,21197,0,0,25,0
2011-12-05,21198,0,0,30,0
2011-12-05,21199,0,0,30,0
2011-12-05,21200,0,0,14,0
2011-12-05,21201,0,0,14,0
2011-12-05,21202,0,0,30,0
2011-12-05,21203,0,0,25,0
2011-12-05,21204,0,0,25,0
2011-12-05,21205,0,0,25,0
2011-12-05,21206,0,0,25,0
2011-12-05,21207,0,0,25,0
2011-12-05,21208,0,0,25,0
2011-12-05,21209,0,0,25,0
2011-12-05,21210,293,0,14,341
2011-12-05,21211,0,0,14,0
2011-12-05,21212,4373,0,21,2123
2011-12-05,21213,2415,0,21,938
2011-12-05,21214,0,0,14,0
2011-12-05,21215,0,0,21,0
2011-12-05,21216,0,0,25,0
2011-12-05,21217,0,0,21,0
2011-12-05,21218,0,0,35,0
2011-12-05,21219,0,0,25,0
2011-12-05,21220,0,0,25,0
2011-12-05,21221,0,0,25,0
2011-12-05,21222,0,0,25,0
2011-12-05,21223,0,0,25,0
2011-12-05,21224,0,0,25,0
2011-12-05,21225,0,0,30,0
2011-12-05,21226,0,0,30,0
2011-12-05,21228,0,0,30,0
2011-12-05,21231,1077,0,30,798
2011-12-05,21232,4243,0,35,1925
2011-12-05,21238,0,0,21,0
2011-12-05,21239,0,0,21,0
2011-12-05,21240,0,0,21,0
2011-12-05,21241,0,0,21,0
2011-12-05,21242,0,0,21,0
2011-12-05,21243,0,0,21,0
2011-12-05,21244,0,0,21,0
2011-12-05,21245,0,0,21,0
2011-12-05,21246,0,0,21,0
2011-12-05,21247,0,0,25,0
2011-12-05,21248,0,0,25,0
2011-12-05,21249,0,0,14,0
2011-12-05,21250,0,0,30,0
2011-12-05,21251,0,0,14,0
2011-12-05,21252,0,0,14,0
2011-12-05,21253,0,0,30,0
2011-12-05,21255,0,0,21,0
2011-12-05,21256,0,0,21,0
2011-12-05,21257,0,0,35,0
2011-12-05,21258,0,0,35,0
2011-12-05,21259,0,0,35,0
2011-12-05,21260,0,0,35,0
2011-12-05,21261,0,0,45,0
2011-12-05,21262,0,0,45,0
2011-12-05,21263,0,0,25,0
2011-12-05,21264,0,0,25,0
2011-12-05,21265,0,0,25,0
2011-12-05,21266,0,0,35,0
2011-12-05,21267,0,0,35,0
2011-12-05,21268,0,0,35,0
2011-12-05,21269,0,0,21,0
2011-12-05,21270,0,0,21,0
2011-12-05,21272,0,0,25,0
2011-12-05,21274,0,0,30,0
2011-12-05,21275,0,0,25,0
2011-12-05,21276,0,0,30,0
2011-12-05,21277,0,0,30,0
2011-12-05,21278,0,0,21,0
2011-12-05,21279,0,0,21,0
2011-12-05,21280,0,0,21,0
2011-12-05,21281,0,0,21,0
2011-12-05,21282,0,0,28,0
2011-12-05,21283,0,0,28,0
2011-12-05,21284,0,0,28,0
2011-12-05,21285,0,0,28,0
2011-12-05,21286,0,0,28,0
2011-12-05,21287,0,0,28,0
2011-12-05,21288,0,0,35,0
2011-12-05,21289,0,0,35,0
2011-12-05,21290,0,0,35,0
2011-12-05,21291,0,0,35,0
2011-12-05,21292,0,0,35,0
2011-12-05,21293,0,0,30,0
2011-12-05,21294,0,0,21,0
2011-12-05,21298,0,0,30,0
2011-12-05,21299,0,0,25,0
2011-12-05,21300,0,0,25,0
2011-12-05,21303,0,0,30,0
2011-12-05,21304,0,0,30,0
2011-12-05,21306,0,0,30,0
2011-12-05,21307,0,0,30,0
2011-12-05,21308,0,0,30,0
2011-12-05,21309,0,0,14,0
2011-12-05,21310,0,0,25,0
2011-12-05,21311,0,0,30,0
2011-12-05,21312,0,0,21,0
2011-12-05,21313,0,0,21,0
2011-12-05,21314,0,0,21,0
2011-12-05,21316,0,0,21,0
2011-12-05,21317,0,0,21,0
2011-12-05,21318,0,0,21,0
2011-12-05,21319,0,0,21,0
2011-12-05,21320,0,0,21,0
2011-12-05,21321,0,0,21,0
2011-12-05,21322,0,0,21,0
2011-12-05,21323,0,0,28,0
2011-12-05,21324,0,0,28,0
2011-12-05,21326,1321,0,21,983
2011-12-05,21327,0,0,35,0
2011-12-05,21328,0,0,35,0
2011-12-05,21329,0,0,35,0
2011-12-05,21330,0,0,35,0
2011-12-05,21331,0,0,25,0
2011-12-05,21332,0,0,30,0
2011-12-05,21333,0,0,30,0
2011-12-05,21335,0,0,28,0
2011-12-05,21336,0,0,35,0
2011-12-05,21337,0,0,35,0
2011-12-05,21338,0,0,28,0
2011-12-05,21339,0,0,28,0
2011-12-05,21340,0,0,28,0
2011-12-05,21341,0,0,21,0
2011-12-05,21343,0,0,35,0
2011-12-05,21344,0,0,25,0
2011-12-05,21347,0,0,28,0
2011-12-05,21348,0,0,35,0
2011-12-05,21349,0,0,30,0
2011-12-05,21350,0,0,30,0
2011-12-05,21351,0,0,25,0
2011-12-05,21352,0,0,25,0
2011-12-05,21353,0,0,25,0
2011-12-05,21354,0,0,25,0
2011-12-05,21355,0,0,25,0
2011-12-05,21356,0,0,25,0
2011-12-05,21357,0,0,25,0
2011-12-05,21358,0,0,25,0
2011-12-05,21359,0,0,25,0
2011-12-05,21360,0,0,25,0
2011-12-05,21361,0,0,25,0
2011-12-05,21363,0,0,25,0
2011-12-05,21364,0,0,25,0
2011-12-05,21365,0,0,30,0
2011-12-05,21366,0,0,30,0
2011-12-05,21367,0,0,30,0
2011-12-05,21368,0,0,30,0
2011-12-05,21369,0,0,30,0
2011-12-05,21370,0,0,30,0
2011-12-05,21371,0,0,30,0
2011-12-05,21372,0,0,28,0
2011-12-05,21373,0,0,30,0
2011-12-05,21374,0,0,30,0
2011-12-05,21375,0,0,25,0
2011-12-05,21376,0,0,25,0
2011-12-05,21377,0,0,25,0
2011-12-05,21378,0,0,25,0
2011-12-05,21379,0,0,25,0
2011-12-05,21380,0,0,25,0
2011-12-05,21381,0,0,25,0
2011-12-05,21382,0,0,30,0
2011-12-05,21383,0,0,25,0
2011-12-05,21384,0,0,30,0
2011-12-05,21385,0,0,30,0
2011-12-05,21386,0,0,30,0
2011-12-05,21387,0,0,30,0
2011-12-05,21388,0,0,30,0
2011-12-05,21389,0,0,30,0
2011-12-05,21390,0,0,30,0
